"Day","Temp","community","Nutrient","BioRep","PFU"
8,"18","meso","WHM_5P",1,490723
8,"18","meso","WHM_5P",2,75604
8,"18","meso","WHM_5P",3,98118
8,"22","meso","WHM_5P",4,56787
8,"22","meso","WHM_5P",5,88119
8,"22","meso","WHM_5P",6,54599
8,"18","meso-oligo","WHM_5P",1,94403
8,"18","meso-oligo","WHM_5P",2,139211
8,"18","meso-oligo","WHM_5P",3,162822
8,"22","meso-oligo","WHM_5P",4,159507
8,"22","meso-oligo","WHM_5P",5,130888
8,"22","meso-oligo","WHM_5P",6,128272
11,"18","meso","WHM",1,84784
11,"18","meso","WHM",2,92860
11,"18","meso","WHM",3,100390
11,"22","meso","WHM",4,65055
11,"22","meso","WHM",5,83562
11,"22","meso","WHM",6,82941
11,"18","meso-oligo","WHM",1,187647
11,"18","meso-oligo","WHM",2,153777
11,"18","meso-oligo","WHM",3,160618
11,"22","meso-oligo","WHM",4,511361
11,"22","meso-oligo","WHM",5,342660
11,"22","meso-oligo","WHM",6,168136
11,"18","meso","WHM_5N",1,105724
11,"18","meso","WHM_5N",2,85714
11,"18","meso","WHM_5N",3,90254
11,"22","meso","WHM_5N",4,100328
11,"22","meso","WHM_5N",5,99131
11,"22","meso","WHM_5N",6,100116
11,"18","meso-oligo","WHM_5N",1,155955
11,"18","meso-oligo","WHM_5N",2,158529
11,"18","meso-oligo","WHM_5N",3,129370
11,"22","meso-oligo","WHM_5N",4,203859
11,"22","meso-oligo","WHM_5N",5,152784
11,"22","meso-oligo","WHM_5N",6,194867
11,"18","meso","WHM_5P",1,87557
11,"18","meso","WHM_5P",2,100226
11,"18","meso","WHM_5P",3,97036
11,"22","meso","WHM_5P",4,123431
11,"22","meso","WHM_5P",5,102697
11,"22","meso","WHM_5P",6,93713
11,"18","meso-oligo","WHM_5P",1,175254
11,"18","meso-oligo","WHM_5P",2,613820
11,"18","meso-oligo","WHM_5P",3,149207
11,"22","meso-oligo","WHM_5P",4,203483
11,"22","meso-oligo","WHM_5P",5,178298
11,"22","meso-oligo","WHM_5P",6,192665
13,"18","meso","WHM",1,108236
13,"18","meso","WHM",2,118168
13,"18","meso","WHM",3,124265
13,"22","meso","WHM",4,106614
13,"22","meso","WHM",5,131479
13,"22","meso","WHM",6,82649
13,"18","meso-oligo","WHM",1,258550
13,"18","meso-oligo","WHM",2,171289
13,"18","meso-oligo","WHM",3,213898
13,"22","meso-oligo","WHM",4,241281
13,"22","meso-oligo","WHM",5,287376
13,"22","meso-oligo","WHM",6,259149
13,"18","meso","WHM_5N",1,142011
13,"18","meso","WHM_5N",2,140899
13,"18","meso","WHM_5N",3,130560
13,"22","meso","WHM_5N",4,136052
13,"22","meso","WHM_5N",5,141842
13,"22","meso","WHM_5N",6,115168
13,"18","meso-oligo","WHM_5N",1,211538
13,"18","meso-oligo","WHM_5N",2,246056
13,"18","meso-oligo","WHM_5N",3,124679
13,"22","meso-oligo","WHM_5N",4,376333
13,"22","meso-oligo","WHM_5N",5,253065
13,"22","meso-oligo","WHM_5N",6,246904
13,"18","meso","WHM_5P",1,130213
13,"18","meso","WHM_5P",2,140986
13,"18","meso","WHM_5P",3,129632
13,"22","meso","WHM_5P",4,130912
13,"22","meso","WHM_5P",5,136950
13,"22","meso","WHM_5P",6,167871
13,"18","meso-oligo","WHM_5P",1,186110
13,"18","meso-oligo","WHM_5P",2,202834
13,"18","meso-oligo","WHM_5P",3,217848
13,"22","meso-oligo","WHM_5P",4,224781
13,"22","meso-oligo","WHM_5P",5,264107
13,"22","meso-oligo","WHM_5P",6,200851
15,"18","meso","WHM",1,106394
15,"18","meso","WHM",2,180677
15,"18","meso","WHM",3,223747
15,"22","meso","WHM",4,93865
15,"22","meso","WHM",5,128552
15,"22","meso","WHM",6,111059
15,"18","meso-oligo","WHM",1,262972
15,"18","meso-oligo","WHM",2,240939
15,"18","meso-oligo","WHM",3,260471
15,"22","meso-oligo","WHM",4,860437
15,"22","meso-oligo","WHM",5,472413
15,"22","meso-oligo","WHM",6,261472
15,"18","meso","WHM_5N",1,369036
15,"18","meso","WHM_5N",2,246995
15,"18","meso","WHM_5N",3,185553
15,"22","meso","WHM_5N",4,153159
15,"22","meso","WHM_5N",5,147675
15,"22","meso","WHM_5N",6,305050
15,"18","meso-oligo","WHM_5N",1,235942
15,"18","meso-oligo","WHM_5N",2,548169
15,"18","meso-oligo","WHM_5N",3,455577
15,"22","meso-oligo","WHM_5N",4,239365
15,"22","meso-oligo","WHM_5N",5,271252
15,"22","meso-oligo","WHM_5N",6,282406
15,"18","meso","WHM_5P",1,166147
15,"18","meso","WHM_5P",2,156174
15,"18","meso","WHM_5P",3,148560
15,"22","meso","WHM_5P",4,215019
15,"22","meso","WHM_5P",5,155002
15,"22","meso","WHM_5P",6,271127
15,"18","meso-oligo","WHM_5P",1,172820
15,"18","meso-oligo","WHM_5P",2,284494
15,"18","meso-oligo","WHM_5P",3,249661
15,"22","meso-oligo","WHM_5P",4,233826
15,"22","meso-oligo","WHM_5P",5,254046
15,"22","meso-oligo","WHM_5P",6,201682
18,"18","meso","WHM",1,138193
18,"18","meso","WHM",2,186431
18,"18","meso","WHM",3,176515
18,"22","meso","WHM",4,139153
18,"22","meso","WHM",5,182323
18,"22","meso","WHM",6,123875
18,"18","meso-oligo","WHM",1,249175
18,"18","meso-oligo","WHM",2,291819
18,"18","meso-oligo","WHM",3,703404
18,"22","meso-oligo","WHM",4,272959
18,"22","meso-oligo","WHM",5,313904
18,"22","meso-oligo","WHM",6,283429
18,"18","meso","WHM_5N",1,129921
18,"18","meso","WHM_5N",2,164384
18,"18","meso","WHM_5N",3,138564
18,"22","meso","WHM_5N",4,197690
18,"22","meso","WHM_5N",5,159173
18,"22","meso","WHM_5N",6,165523
18,"18","meso-oligo","WHM_5N",1,184651
18,"18","meso-oligo","WHM_5N",2,249503
18,"18","meso-oligo","WHM_5N",3,220075
18,"22","meso-oligo","WHM_5N",4,260038
18,"22","meso-oligo","WHM_5N",5,299392
18,"22","meso-oligo","WHM_5N",6,267428
18,"18","meso","WHM_5P",1,162413
18,"18","meso","WHM_5P",2,138833
18,"18","meso","WHM_5P",3,154219
18,"22","meso","WHM_5P",4,250184
18,"22","meso","WHM_5P",5,170921
18,"22","meso","WHM_5P",6,159817
18,"18","meso-oligo","WHM_5P",1,158561
18,"18","meso-oligo","WHM_5P",2,304988
18,"18","meso-oligo","WHM_5P",3,221018
18,"22","meso-oligo","WHM_5P",4,200279
18,"22","meso-oligo","WHM_5P",5,264290
18,"22","meso-oligo","WHM_5P",6,308215
20,"18","meso","WHM",1,156324
20,"18","meso","WHM",2,205298
20,"18","meso","WHM",3,188807
20,"22","meso","WHM",4,218525
20,"22","meso","WHM",5,147175
20,"22","meso","WHM",6,366353
20,"18","meso-oligo","WHM",1,208100
20,"18","meso-oligo","WHM",2,322646
20,"18","meso-oligo","WHM",3,305012
20,"22","meso-oligo","WHM",4,342921
20,"22","meso-oligo","WHM",5,3149697
20,"22","meso-oligo","WHM",6,380007
20,"18","meso","WHM_5N",1,145063
20,"18","meso","WHM_5N",2,151209
20,"18","meso","WHM_5N",3,173810
20,"22","meso","WHM_5N",4,119982
20,"22","meso","WHM_5N",5,137236
20,"22","meso","WHM_5N",6,338175
20,"18","meso-oligo","WHM_5N",1,217534
20,"18","meso-oligo","WHM_5N",2,212376
20,"18","meso-oligo","WHM_5N",3,138946
20,"22","meso-oligo","WHM_5N",4,272737
20,"22","meso-oligo","WHM_5N",5,319761
20,"22","meso-oligo","WHM_5N",6,355662
20,"18","meso","WHM_5P",1,182609
20,"18","meso","WHM_5P",2,154903
20,"18","meso","WHM_5P",3,211334
20,"22","meso","WHM_5P",4,138754
20,"22","meso","WHM_5P",5,229031
20,"22","meso","WHM_5P",6,139943
20,"18","meso-oligo","WHM_5P",1,199209
20,"18","meso-oligo","WHM_5P",2,162252
20,"18","meso-oligo","WHM_5P",3,170249
20,"22","meso-oligo","WHM_5P",4,236563
20,"22","meso-oligo","WHM_5P",5,232363
20,"22","meso-oligo","WHM_5P",6,260199
22,"18","meso","WHM",1,164865
22,"18","meso","WHM",2,210362
22,"18","meso","WHM",3,210049
22,"22","meso","WHM",4,189278
22,"22","meso","WHM",5,229231
22,"22","meso","WHM",6,180028
22,"18","meso-oligo","WHM",1,298272
